model,rank,sample_index,scenario_id,track_id,object_type,ADE,FDE,minADE,minFDE,miss,min_miss
lstm,11,9788,69f2fa9a-a421-457f-a745-28de3411b411,3457,0,5.373483657836914,15.534993171691895,5.373483657836914,15.534993171691895,1,1
lstm,12,4271,2eeb2fc4-ac67-4a18-ae0c-96a9f6fa3fbe,19008,0,6.731600761413574,14.872640609741211,6.731600761413574,14.872640609741211,1,1
lstm,13,6632,47b7784c-3c4c-4324-a57b-5cfef5dc8ec3,89436,0,5.9861273765563965,14.815107345581055,5.9861273765563965,14.815107345581055,1,1
lstm,14,21149,e49ac302-d6ac-456e-8a75-cee6446c3790,36650,0,4.837093830108643,14.669953346252441,4.837093830108643,14.669953346252441,1,1
lstm,15,14044,988eb544-e05a-4f4c-a966-10e1b89f8b03,67170,0,5.2241315841674805,14.41516399383545,5.2241315841674805,14.41516399383545,1,1
lstm,16,23519,fde30257-89e4-490e-8129-86d1bf229d20,135230,0,5.083941459655762,13.974244117736816,5.083941459655762,13.974244117736816,1,1
lstm,17,20322,dbf29e33-63d7-4c04-88c1-161a4d828f3c,34795,0,7.375407695770264,13.924537658691406,7.375407695770264,13.924537658691406,1,1
lstm,18,5460,3bba8957-b9dc-4d5f-93ef-f3f0cff84d97,57308,0,4.448214054107666,13.886773109436035,4.448214054107666,13.886773109436035,1,1
lstm,19,5644,3d944778-8f17-4f7e-a070-41397d2356e5,139763,0,6.022114276885986,13.815312385559082,6.022114276885986,13.815312385559082,1,1
lstm,20,22716,f5204db1-9b12-4595-958d-36977ebe03c1,162607,0,5.321264266967773,13.809067726135254,5.321264266967773,13.809067726135254,1,1
transformer,1,4532,3200056a-a13d-4e10-81e2-34f2dc9a6afd,8948,0,12.328986167907715,26.418638229370117,12.328986167907715,26.418638229370117,1,1
transformer,2,10118,6decec7f-5bb7-49d3-84ed-089be8100761,163269,0,8.854917526245117,20.879350662231445,8.854917526245117,20.879350662231445,1,1
transformer,3,14867,a1868c26-4ffd-4846-89d6-5389097df4d1,121048,0,7.041275501251221,18.93935203552246,7.041275501251221,18.93935203552246,1,1
transformer,4,97,0134aa84-8bf4-4b83-8c84-c3598e69b663,56735,0,7.001815319061279,18.73216438293457,7.001815319061279,18.73216438293457,1,1
transformer,5,14450,9d10a795-c3dc-4312-85df-b6c24fd22d0b,145056,0,6.567675590515137,17.717214584350586,6.567675590515137,17.717214584350586,1,1
transformer,6,738,083484b9-40ed-44e3-9353-f5b1cb2cf186,96760,0,7.246096134185791,17.612390518188477,7.246096134185791,17.612390518188477,1,1
transformer,7,5589,3cef7b02-8d6f-4aa9-afbe-7a6ff6e626e1,58654,0,6.180613040924072,17.492351531982422,6.180613040924072,17.492351531982422,1,1
transformer,8,7533,518fd970-ee38-4bd7-a552-6c48558365cd,62225,0,7.9591217041015625,16.839998245239258,7.9591217041015625,16.839998245239258,1,1
transformer,9,20905,e1fc0665-abb0-4b93-847f-6f7ee7b674f3,3964,0,7.852464199066162,16.352102279663086,7.852464199066162,16.352102279663086,1,1
transformer,10,15261,a5ad21d5-38a2-4670-beba-9adbacc35a6e,21456,0,5.927705764770508,16.044971466064453,5.927705764770508,16.044971466064453,1,1
transformer,11,2997,20c3401d-04df-44f1-948e-2596f517e550,33852,0,7.218549728393555,15.827802658081055,7.218549728393555,15.827802658081055,1,1
transformer,12,21149,e49ac302-d6ac-456e-8a75-cee6446c3790,36650,0,5.325010776519775,15.757899284362793,5.325010776519775,15.757899284362793,1,1
transformer,13,11020,77f9c78a-76b5-4571-ada6-c2307f8f5623,18415,0,6.286814212799072,15.359716415405273,6.286814212799072,15.359716415405273,1,1
transformer,14,20111,d995f389-b520-4d49-b3be-3046bf500594,233984,0,5.779229164123535,15.350912094116211,5.779229164123535,15.350912094116211,1,1
