model,rank,sample_index,scenario_id,track_id,object_type,ADE,FDE,minADE,minFDE,miss,min_miss
diffusion_pca,2,13,00226ff5-0ee6-43b7-8568-ffd0f357db91,25627,0,15.786832809448242,35.65095901489258,15.43214225769043,31.27898597717285,1,1
diffusion_pca,3,87,01154df6-1058-404c-91eb-e78992da5a38,19841,0,14.949446678161621,29.668485641479492,14.93397331237793,29.667341232299805,1,1
diffusion_pca,4,68,00e14259-7419-4f92-9699-835bc4f62536,40102,0,15.788458824157715,29.3236026763916,15.65470027923584,29.25286102294922,1,1
diffusion_pca,5,42,0092658a-5705-4a48-9de0-195b430c03f8,57383,0,14.664697647094727,28.863325119018555,14.21037483215332,28.271526336669922,1,1
diffusion_pca,6,92,0123336f-afc6-4704-9ed0-efc5bea121f0,3063,0,14.192745208740234,27.39592742919922,13.628049850463867,27.363344192504883,1,1
diffusion_pca,7,43,00976f6f-59fa-4fad-ba0b-828cce074d97,32730,0,13.8754301071167,25.950735092163086,13.773140907287598,25.874359130859375,1,1
diffusion_pca,8,34,007471ae-7006-49ec-903d-a9465c4fa379,186690,0,13.16748046875,25.598779678344727,13.087613105773926,24.951885223388672,1,1
diffusion_pca,9,8,00195499-be19-4cfb-867a-f6a78c43f51c,52958,0,12.190394401550293,23.79473114013672,11.969269752502441,21.693252563476562,1,1
diffusion_pca,10,35,007e6152-fb08-4a1b-be8c-d60e4d8635ce,12856,0,10.65350341796875,22.243751525878906,10.418524742126465,20.219255447387695,1,1
lstm,1,53,00abf9e5-4bc0-4b90-a3da-9d858df18f7d,7592,0,30.431493759155273,58.375205993652344,30.431493759155273,58.375205993652344,1,1
lstm,2,13,00226ff5-0ee6-43b7-8568-ffd0f357db91,25627,0,26.37628746032715,53.75542449951172,26.37628746032715,53.75542449951172,1,1
lstm,3,68,00e14259-7419-4f92-9699-835bc4f62536,40102,0,26.361543655395508,50.95050811767578,26.361543655395508,50.95050811767578,1,1
lstm,4,87,01154df6-1058-404c-91eb-e78992da5a38,19841,0,25.857608795166016,50.658485412597656,25.857608795166016,50.658485412597656,1,1
lstm,5,42,0092658a-5705-4a48-9de0-195b430c03f8,57383,0,25.1586971282959,49.12936019897461,25.1586971282959,49.12936019897461,1,1
lstm,6,92,0123336f-afc6-4704-9ed0-efc5bea121f0,3063,0,24.57044219970703,48.10725021362305,24.57044219970703,48.10725021362305,1,1
lstm,7,43,00976f6f-59fa-4fad-ba0b-828cce074d97,32730,0,24.681154251098633,47.57224655151367,24.681154251098633,47.57224655151367,1,1
lstm,8,34,007471ae-7006-49ec-903d-a9465c4fa379,186690,0,23.87103843688965,46.56073760986328,23.87103843688965,46.56073760986328,1,1
lstm,9,20,00404e6d-ff66-460e-8f22-bc61fc9f7f9d,93160,0,22.18975067138672,43.42021179199219,22.18975067138672,43.42021179199219,1,1
lstm,10,8,00195499-be19-4cfb-867a-f6a78c43f51c,52958,0,22.733728408813477,43.386192321777344,22.733728408813477,43.386192321777344,1,1
transformer,1,53,00abf9e5-4bc0-4b90-a3da-9d858df18f7d,7592,0,29.71686553955078,56.430816650390625,29.71686553955078,56.430816650390625,1,1
transformer,2,13,00226ff5-0ee6-43b7-8568-ffd0f357db91,25627,0,25.663585662841797,51.83121109008789,25.663585662841797,51.83121109008789,1,1
transformer,3,68,00e14259-7419-4f92-9699-835bc4f62536,40102,0,25.644800186157227,49.010162353515625,25.644800186157227,49.010162353515625,1,1
transformer,4,87,01154df6-1058-404c-91eb-e78992da5a38,19841,0,25.138757705688477,48.714874267578125,25.138757705688477,48.714874267578125,1,1
transformer,5,42,0092658a-5705-4a48-9de0-195b430c03f8,57383,0,24.44112777709961,47.17755889892578,24.44112777709961,47.17755889892578,1,1
transformer,6,92,0123336f-afc6-4704-9ed0-efc5bea121f0,3063,0,23.868244171142578,46.130592346191406,23.868244171142578,46.130592346191406,1,1
transformer,7,43,00976f6f-59fa-4fad-ba0b-828cce074d97,32730,0,23.96356773376465,45.620601654052734,23.96356773376465,45.620601654052734,1,1
transformer,8,34,007471ae-7006-49ec-903d-a9465c4fa379,186690,0,23.150781631469727,44.611297607421875,23.150781631469727,44.611297607421875,1,1
transformer,9,20,00404e6d-ff66-460e-8f22-bc61fc9f7f9d,93160,0,21.471158981323242,41.48493957519531,21.471158981323242,41.48493957519531,1,1
transformer,10,8,00195499-be19-4cfb-867a-f6a78c43f51c,52958,0,22.015705108642578,41.4281120300293,22.015705108642578,41.4281120300293,1,1
